"provider","name","station_id","latitude","longitude","docks","duration_minutes","start_station_count","year","end_count"
"santander","Buckingham Gate, Westminster",646,"51.498866","-0.137425","16","26.43","16699",2017,"18216"
"santander","Westbourne Park Road, Portobello",758,"51.51787","-0.201005","23","21.69","9169",2017,"8737"
"santander","Marylebone Lane, Marylebone",301,"51.51476","-0.148105","22","21.15","17582",2017,"18758"
"santander","Gower Place , Euston",65,"51.525228","-0.135189","16","14.79","12028",2017,"10882"
"santander","Earnshaw Street , Covent Garden",244,"51.516119","-0.128585","17","19.14","13284",2017,"13935"
"santander","Sirdar Road, Avondale",740,"51.510929","-0.214595","26","15.85","3776",2017,"3796"
"santander","Stebondale Street, Cubitt Town",476,"51.489096","-0.009205","28","45.78","2821",2017,"3251"
"santander","Abbotsbury Road, Holland Park",559,"51.501391","-0.205991","24","23.59","4028",2017,"3729"
"santander","Baylis Road, Waterloo",272,"51.501445","-0.110699","22","16.26","27411",2017,"29223"
"santander","Cleaver Street, Kennington",412,"51.488105","-0.110121","17","15.26","6207",2017,"5977"
"santander","Canton Street, Poplar",487,"51.511811","-0.025626","23","27.98","4424",2017,"4349"
"santander","South Kensington Station, South Kensington",356,"51.494412","-0.173881","15","20.38","31711",2017,"33358"
"santander","Abingdon Villas, Kensington",38,"51.497388","-0.197246","17","16.39","7544",2017,"7410"
"santander","Upcerne Road, West Chelsea",745,"51.47817","-0.182435","29","19.10","6785",2017,"6170"
"santander","Penywern Road, Earl's Court",37,"51.491594","-0.192369","17","18.28","14017",2017,"13159"
"santander","Imperial Road, Sands End",738,"51.475142","-0.187279","37","17.96","7530",2017,"7110"
"santander","Shoreditch Park, Hoxton",253,"51.534043","-0.08638","29","17.32","17511",2017,"13465"
"santander","Margery Street, Clerkenwell",204,"51.5266","-0.112433","18","14.59","10747",2017,"9624"
"santander","West Smithfield Rotunda, Farringdon",203,"51.518219","-0.100791","15","13.34","21589",2017,"23019"
"santander","Hatton Garden, Holborn",67,"51.518826","-0.108028","28","14.75","16904",2017,"16811"
"santander","Mexfield Road, East Putney",704,"51.456821","-0.202802","18","21.61","2711",2017,"2359"
"santander","Rainville Road, Hammersmith",644,"51.483732","-0.223852","36","17.35","11054",2017,"10850"
"santander","Howland Street, Fitzrovia",357,"51.520994","-0.139016","30","14.99","16917",2017,"17916"
"santander","Pindar Street, Liverpool Street",41,"51.520955","-0.083494","24","13.26","13483",2017,"15307"
"santander","Westminster Bridge Road, Elephant & Castle",548,"51.498386","-0.107913","26","17.83","4204",2017,"3873"
"santander","Swan Street, The Borough",295,"51.500296","-0.092763","27","15.83","11399",2017,"11280"
"santander","Harrowby Street, Marylebone",367,"51.517372","-0.164208","16","18.07","7876",2017,"6917"
"santander","Driffield Road, Old Ford",521,"51.534137","-0.037366","19","23.72","10994",2017,"10722"
"santander","Princes Square, Bayswater",261,"51.513489","-0.191351","15","25.37","6262",2017,"5353"
"santander","Ontario Street, Elephant & Castle",324,"51.49652","-0.101384","14","16.81","13506",2017,"13745"
"santander","New Fetter Lane, Holborn",546,"51.517428","-0.107987","21","14.24","15742",2017,"15973"
"santander","Fore Street, Guildhall",509,"51.517842","-0.090075","19","13.16","10476",2017,"11448"
"santander","Cartwright Gardens , Bloomsbury",16,"51.526358","-0.125979","22","16.36","16815",2017,"14971"
"santander","Clerkenwell Green, Clerkenwell",135,"51.52326","-0.104709","21","14.60","19889",2017,"20731"
"santander","King Edward Walk, Waterloo",371,"51.49775","-0.10988","22","16.16","4082",2017,"3685"
"santander","St Mary's Hospital, Paddington",290,"51.518268","-0.171103","20","23.26","25786",2017,"25332"
"santander","London Zoo, The Regent's Park",271,"51.535836","-0.156285","32","29.93","9304",2017,"8566"
"santander","Pall Mall East, West End",233,"51.50777","-0.1307","22","29.64","21733",2017,"25614"
"santander","Wellington Road, St. John's Wood",110,"51.533043","-0.172529","17","22.81","7267",2017,"6480"
"santander","Murray Grove , Hoxton",63,"51.53089","-0.089783","27","13.72","9753",2017,"7393"
"santander","Crinan Street, King's Cross",431,"51.534474","-0.122203","20","23.37","7850",2017,"7761"
"santander","Bishop's Bridge Road West, Bayswater",568,"51.51616","-0.18697","18","19.33","13281",2017,"12498"
"santander","South Lambeth Road, Vauxhall",600,"51.481747","-0.124642","21","20.01","8868",2017,"8649"
"santander","Claverton Street, Pimlico",291,"51.48484","-0.138089","32","21.87","10643",2017,"8483"
"santander","LMU Commercial Road, Whitechapel",200,"51.514925","-0.066078","14","17.05","12942",2017,"12046"
"santander","Jubilee Crescent, Cubitt Town",447,"51.493381","-0.007542","54","21.76","3915",2017,"3728"
"santander","Black Prince Road, Vauxhall",310,"51.490868","-0.116912","19","15.15","12283",2017,"11867"
"santander","Sugden Road, Clapham",609,"51.465124","-0.157788","19","23.30","5969",2017,"4999"
"santander","Wellington Arch, Hyde Park",213,"51.50274","-0.149569","36","35.90","44462",2017,"43707"
"santander","Coomer Place, West Kensington",639,"51.483571","-0.202039","25","15.21","11281",2017,"10885"
"santander","Regency Street, Westminster",267,"51.49206","-0.132225","22","16.85","10171",2017,"9776"
"santander","Milroy Walk, South Bank",195,"51.507244","-0.106238","29","16.00","26182",2017,"26004"
"santander","Queensdale Road, Shepherd's Bush",736,"51.50659","-0.216104","28","22.10","4163",2017,"4132"
"santander","West Kensington Station, West Kensington",660,"51.490871","-0.20603","22","17.34","7829",2017,"7549"
"santander","Evesham Street, Avondale",652,"51.511487","-0.21819","28","18.60","3798",2017,"3895"
"santander","Old Ford Road, Bethnal Green",485,"51.531127","-0.048017","24","22.78","13137",2017,"12267"
"santander","Millharbour, Millwall",473,"51.496137","-0.019355","19","27.61","2178",2017,"2325"
"santander","Vincent Street, Pimlico",426,"51.493072","-0.129925","17","15.70","9319",2017,"9097"
"santander","Brunswick Square, Bloomsbury",11,"51.523951","-0.122502","24","15.64","14530",2017,"14103"
"santander","Ansell House, Stepney",500,"51.519806","-0.055731","41","15.49","14706",2017,"13108"
"santander","Bromley High Street, Bow",484,"51.528828","-0.013258","23","29.92","3635",2017,"3492"
"santander","Kennington Road , Vauxhall",235,"51.495718","-0.110889","36","20.01","11810",2017,"10118"
"santander","Roscoe Street, St. Luke's",52,"51.522954","-0.094935","17","13.41","12697",2017,"13288"
"santander","Albert Square, Stockwell",802,"51.47659","-0.118257","32","19.53","9506",2017,"8426"
"santander","Kennington Lane Rail Bridge, Vauxhall",270,"51.486343","-0.122492","30","15.19","30120",2017,"30015"
"santander","Felsham Road, Putney",693,"51.464786","-0.215619","18","36.37","7191",2017,"7435"
"santander","Carnegie Street, King's Cross",674,"51.535468","-0.116191","40","18.88","8880",2017,"6475"
"santander","The Vale, Chelsea",755,"51.485122","-0.174972","24","18.66","15699",2017,"16011"
"santander","North Audley Street, Mayfair",180,"51.512912","-0.153645","17","23.03","13144",2017,"13808"
"santander","Thorndike Close, West Chelsea",651,"51.480898","-0.183854","23","19.16","8285",2017,"7376"
"santander","Moor Street, Soho",386,"51.513528","-0.130111","16","21.23","21711",2017,"24485"
"santander","Endsleigh Gardens, Euston",214,"51.526838","-0.130504","32","16.51","21051",2017,"20352"
"santander","Theobald's Road , Holborn",68,"51.520597","-0.116688","26","13.87","18262",2017,"18267"
"santander","Merchant Street, Bow",497,"51.526149","-0.027397","26","19.41","4685",2017,"4276"
"santander","Southwark Station 2, Southwark",421,"51.504044","-0.104778","43","18.25","19956",2017,"19339"
"santander","Flood Street, Chelsea",345,"51.488024","-0.166879","33","17.09","21712",2017,"22166"
"santander","Holborn Circus, Holborn",66,"51.51795","-0.108657","39","15.12","31623",2017,"51092"
"santander","Paddington Street, Marylebone",56,"51.520584","-0.154701","16","18.18","10847",2017,"10391"
"santander","Hatton Wall, Holborn",17,"51.521661","-0.109006","26","14.80","23614",2017,"24463"
"santander","Killick Street, King's Cross",439,"51.5338","-0.118677","22","20.57","5227",2017,"4507"
"santander","Regent's Row , Haggerston",553,"51.535678","-0.062546","24","22.60","38033",2017,"36847"
"santander","Northdown Street, King's Cross",593,"51.531066","-0.11934","21","16.99","9991",2017,"9140"
"santander","St Martins Close, Camden Town",604,"51.538792","-0.138535","18","19.62","5565",2017,"5018"
"santander","Vauxhall Bridge , Pimlico",146,"51.488365","-0.129362","33","23.82","7226",2017,"6726"
"santander","Exhibition Road Museums, South Kensington",432,"51.496957","-0.173894","22","29.37","18058",2017,"18751"
"santander","Notting Hill Gate Station, Notting Hill",225,"51.509353","-0.196422","30","19.04","25648",2017,"22466"
"santander","Aberfeldy Street, Poplar",554,"51.513548","-0.005659","16","31.35","1732",2017,"1621"
"santander","Stainsby Road , Poplar",716,"51.515428","-0.023565","24","19.97","6030",2017,"5682"
"santander","Maplin Street, Mile End",492,"51.525501","-0.032267","39","18.61","21991",2017,"20974"
"santander","William IV Street, Strand",64,"51.509462","-0.124749","26","19.38","28587",2017,"36451"
"santander","Gloucester Road Station, South Kensington",405,"51.494186","-0.182671","15","17.28","24989",2017,"24906"
"santander","Here East South, Queen Elizabeth Olympic Park",816,"51.546533","-0.020598","28","35.54","1283",2017,"1174"
"santander","Broadley Terrace, Marylebone",759,"51.524562","-0.165669","18","17.83","5463",2017,"4707"
"santander","Seville Street, Knightsbridge",166,"51.501855","-0.159237","27","30.73","15585",2017,"15876"
"santander","Taviton Street, Bloomsbury",19,"51.525051","-0.131161","30","14.68","12643",2017,"12188"
"santander","London Zoo Car Park, The Regent's Park",343,"51.536922","-0.150181","36","25.49","11083",2017,"10144"
"santander","Hop Exchange, The Borough",194,"51.504628","-0.091774","55","18.59","46699",2017,"63792"
"santander","Charlotte Terrace, Angel",697,"51.536392","-0.112721","24","17.51","9434",2017,"6555"
"santander","Devonshire Terrace, Bayswater",397,"51.51348","-0.17977","16","23.72","15406",2017,"13968"
"santander","Gloucester Street, Pimlico",243,"51.490963","-0.139625","25","22.40","14240",2017,"12389"
"santander","Simpson Street, Clapham Junction",653,"51.470847","-0.170704","25","19.02","10900",2017,"10815"
"santander","Strand, Strand",174,"51.512529","-0.115163","35","19.21","16220",2017,"17529"
"santander","Prince Consort Road, Knightsbridge",373,"51.499807","-0.176416","18","18.79","11221",2017,"12565"
"santander","Maida Vale, Maida Vale",8,"51.529857","-0.183486","38","22.54","1996",2017,"1654"
"santander","Blenheim Crescent, Ladbroke Grove",742,"51.515108","-0.208565","22","24.28","11169",2017,"11078"
"santander","St. Mary & St. Michael Church, Stepney",464,"51.51417","-0.052099","24","16.55","3589",2017,"3055"
"santander","Orbel Street, Battersea",679,"51.474535","-0.170211","25","18.40","7149",2017,"6430"
"santander","Fanshaw Street, Hoxton",31,"51.529537","-0.083353","34","16.44","15540",2017,"13498"
"santander","Prince Albert Road, The Regent's Park",329,"51.535893","-0.160854","24","26.06","14331",2017,"13110"
"santander","Aintree Street, Fulham",616,"51.481021","-0.209973","24","18.82","9693",2017,"9297"
"santander","Bishop's Bridge Road East, Bayswater",592,"51.5171","-0.18377","20","20.01","8697",2017,"7401"
"santander","Queen's Gate, Kensington Gardens",350,"51.501715","-0.179854","20","35.41","29439",2017,"29216"
"santander","Belgrave Square, Belgravia",181,"51.499412","-0.152318","21","23.44","8130",2017,"7703"
"santander","Chepstow Villas, Notting Hill",151,"51.512137","-0.201555","26","25.56","10402",2017,"8921"
"santander","South Wharf Road, Paddington",186,"51.517336","-0.175811","14","21.20","17716",2017,"16644"
"santander","Aquatic Centre, Queen Elizabeth Olympic Park",785,"51.54094","-0.010511","62","44.42","38168",2017,"38056"
"santander","Paddington Green, Paddington",370,"51.520205","-0.174593","19","19.56","4313",2017,"3420"
"santander","Webber Street , Southwark",80,"51.500694","-0.102091","45","14.37","11261",2017,"10372"
"santander","Warwick Avenue Station, Maida Vale",47,"51.523345","-0.183846","19","25.77","15428",2017,"14860"
"santander","Bermondsey Street, Bermondsey",321,"51.497856","-0.081608","24","17.44","22605",2017,"21031"
"santander","British Museum, Bloomsbury",24,"51.51908","-0.124678","34","20.23","22872",2017,"22551"
"santander","Riverlight South, Nine Elms",817,"51.481335","-0.138212","25","18.53","9535",2017,"9232"
"santander","Vicarage Crescent, Battersea",701,"51.472876","-0.176267","27","20.27","13783",2017,"13224"
"santander","Bank of England Museum, Bank",340,"51.514441","-0.087587","16","14.84","24790",2017,"26117"
"santander","Old Street Station, St. Luke's",73,"51.525726","-0.088486","37","15.83","35872",2017,"37493"
